"alA_l","alpha_aux_l","alrhoA_g","alrhoA_l","alrhoEA_g","alrhoEA_l","alrhouA_g","alrhouA_l","area_aux","density_aux_g","density_aux_l","internal_energy_aux_g","internal_energy_aux_l","mach_number_aux_g","mach_number_aux_l","norm_velocity_aux_g","norm_velocity_aux_l","pressure_aux_g","pressure_aux_l","temperature_aux_g","temperature_aux_l","velocity_x_aux_g","velocity_x_aux_l","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
0.75,0.5,3.70804,675.961,9.22728e+06,5.17293e+08,49.31,8709.83,1.5,4.94405,901.281,1.23026e+07,6.89649e+08,0.0250486,0.00797588,13.2981,12.8851,974454,949276,440.734,453.004,13.2981,12.8851,1,1,0,0,0
0.732929,0.488941,3.74417,660.578,9.30881e+06,5.05524e+08,49.1249,8710.33,1.49901,4.88742,901.286,1.21507e+07,6.89654e+08,0.0247743,0.00816204,13.1204,13.1859,958588,963572,438.582,453.008,13.1204,13.1859,2,2,0.01,0,0
0.733784,0.490478,3.73113,661.348,9.2774e+06,5.06114e+08,49.3272,8736.85,1.49606,4.89473,901.284,1.21703e+07,6.89653e+08,0.0249558,0.00817737,13.2205,13.2107,960603,959538,438.847,453.007,13.2205,13.2107,3,3,0.02,0,0
0.731517,0.490574,3.71851,659.305,9.24616e+06,5.0455e+08,49.1253,8709.72,1.49114,4.89517,901.285,1.21715e+07,6.89653e+08,0.0249369,0.00817723,13.211,13.2105,960768,961002,438.883,453.008,13.211,13.2105,4,4,0.03,0,0
0.727465,0.490109,3.70133,655.652,9.20271e+06,5.01756e+08,49.3264,8736.71,1.48429,4.89058,901.284,1.21592e+07,6.89653e+08,0.0251608,0.00824828,13.3267,13.3252,959447,959371,438.691,453.007,13.3267,13.3252,5,5,0.04,0,0
0.723704,0.490471,3.67831,652.263,9.14585e+06,4.99163e+08,49.126,8709.95,1.47553,4.89251,901.284,1.21644e+07,6.89653e+08,0.0252126,0.00826573,13.3556,13.3534,960036,960039,438.787,453.007,13.3556,13.3534,6,6,0.05,0,0
0.717683,0.489924,3.6513,646.836,9.07778e+06,4.95011e+08,49.325,8736.4,1.46489,4.88661,901.284,1.21485e+07,6.89652e+08,0.0255089,0.0083604,13.5089,13.5064,958354,958322,438.547,453.007,13.5089,13.5064,7,7,0.06,0,0
0.712039,0.490245,3.61876,641.749,8.99717e+06,4.91119e+08,49.1272,8710.27,1.45241,4.88775,901.284,1.21517e+07,6.89653e+08,0.025633,0.00840147,13.5757,13.5727,958733,958713,438.619,453.007,13.5757,13.5727,8,8,0.07,0,0
0.704191,0.489649,3.58242,634.675,8.90581e+06,4.85707e+08,49.3232,8735.99,1.43815,4.88093,901.283,1.21334e+07,6.89652e+08,0.0260043,0.0085202,13.7681,13.7645,956806,956767,438.349,453.006,13.7681,13.7645,9,9,0.08,0,0
0.696753,0.489924,3.54077,627.972,8.80243e+06,4.80578e+08,49.1287,8710.69,1.42216,4.88106,901.283,1.21339e+07,6.89652e+08,0.0262053,0.00858621,13.8751,13.8711,956916,956887,438.388,453.007,13.8751,13.8711,10,10,0.09,0,0
0.687186,0.489272,3.49568,619.349,8.68925e+06,4.73981e+08,49.3208,8735.48,1.40451,4.87324,901.282,1.2113e+07,6.89651e+08,0.0266563,0.00873054,14.1091,14.1043,954728,954675,438.087,453.006,14.1091,14.1043,11,11,0.1,0,0
0.678074,0.489494,3.44553,611.136,8.56461e+06,4.67697e+08,49.1307,8711.19,1.38526,4.8722,901.282,1.21104e+07,6.89652e+08,0.0269399,0.00882326,14.2593,14.2541,954529,954488,438.089,453.006,14.2593,14.2541,12,12,0.11,0,0
0.666929,0.488777,3.39238,601.09,8.43131e+06,4.60012e+08,49.3176,8734.86,1.36448,4.86324,901.281,1.20864e+07,6.89651e+08,0.0274767,0.0089951,14.5378,14.5317,952044,951974,437.754,453.005,14.5378,14.5317,13,13,0.12,0,0
0.656284,0.488934,3.33447,591.496,8.28727e+06,4.52671e+08,49.1333,8711.79,1.34227,4.86082,901.281,1.20802e+07,6.89651e+08,0.0278506,0.00911686,14.7349,14.7284,951484,951429,437.714,453.005,14.7349,14.7284,14,14,0.13,0,0
0.643724,0.488146,3.27405,580.175,8.13583e+06,4.4401e+08,49.3135,8734.13,1.31871,4.85053,901.28,1.20528e+07,6.8965e+08,0.0284808,0.00931859,15.0619,15.0543,948658,948566,437.34,453.005,15.0619,15.0543,15,15,0.14,0,0
0.631709,0.488224,3.20926,569.346,7.97455e+06,4.35725e+08,49.1363,8712.47,1.29389,4.84648,901.279,1.20422e+07,6.8965e+08,0.0289544,0.0094723,15.3108,15.3026,947671,947598,437.25,453.004,15.3108,15.3026,16,16,0.15,0,0
0.61792,0.487352,3.14246,556.918,7.80722e+06,4.26217e+08,49.3083,8733.28,1.26791,4.83461,901.278,1.20106e+07,6.89649e+08,0.0296876,0.00970681,15.691,15.6815,944442,944324,436.83,453.004,15.691,15.6815,17,17,0.16,0,0
0.604717,0.487331,3.07175,545.018,7.63108e+06,4.17112e+08,49.1398,8713.26,1.24088,4.82859,901.277,1.19949e+07,6.89649e+08,0.0302723,0.00989602,15.9973,15.9871,942944,942848,436.68,453.003,15.9973,15.9871,18,18,0.17,0,0
0.589903,0.486362,2.99958,531.665,7.45032e+06,4.06897e+08,49.3018,8732.3,1.21289,4.81483,901.275,1.19584e+07,6.89648e+08,0.0311199,0.0101667,16.4362,16.4244,939236,939083,436.206,453.002,16.4362,16.4244,19,19,0.18,0,0
0.57571,0.486216,2.924,518.873,7.26194e+06,3.97111e+08,49.1436,8714.13,1.18406,4.80643,901.274,1.19364e+07,6.89648e+08,0.0318299,0.0103957,16.807,16.7943,937118,936991,435.983,453.002,16.807,16.7943,20,20,0.19,0,0
0.560089,0.485132,2.8475,504.793,7.07038e+06,3.86339e+08,49.2936,8731.18,1.15451,4.79039,901.272,1.18939e+07,6.89647e+08,0.0328052,0.0107066,17.3112,17.2966,932833,932635,435.443,453.001,17.3112,17.2966,21,21,0.2,0,0
0.545117,0.484831,2.76817,491.298,6.87251e+06,3.76015e+08,49.1475,8715.07,1.12434,4.77907,901.271,1.18642e+07,6.89646e+08,0.0336574,0.0109804,17.7545,17.7388,929960,929791,435.13,453.001,17.7545,17.7388,22,22,0.21,0,0
0.528918,0.483608,2.68846,476.697,6.6729e+06,3.64846e+08,49.2834,8729.93,1.09369,4.76025,901.269,1.18144e+07,6.89645e+08,0.0347761,0.011336,18.3315,18.3134,924971,924715,434.507,452.999,18.3315,18.3134,23,23,0.22,0,0
0.513386,0.483111,2.60653,462.697,6.46843e+06,3.54136e+08,49.1512,8716.04,1.06267,4.74535,901.267,1.17753e+07,6.89645e+08,0.0357904,0.0116604,18.8569,18.8375,921175,920949,434.082,452.999,18.8569,18.8375,24,24,0.23,0,0
0.496845,0.481721,2.52474,447.788,6.26358e+06,3.42731e+08,49.2706,8728.57,1.0314,4.72311,901.264,1.17166e+07,6.89643e+08,0.0370706,0.012066,19.5151,19.4926,915325,914991,433.357,452.997,19.5151,19.4926,25,25,0.24,0,0
0.480975,0.480975,2.44141,433.485,6.05543e+06,3.31789e+08,49.154,8717.02,1,4.70384,901.262,1.1666e+07,6.89643e+08,0.0382702,0.0124477,20.1335,20.1092,910399,910093,432.79,452.996,20.1335,20.1092,26,26,0.25,0,0
0.464331,0.479382,2.35868,418.482,5.84819e+06,3.20313e+08,49.2544,8727.11,0.968605,4.67739,901.258,1.15962e+07,6.89641e+08,0.0397326,0.0129089,20.8822,20.8542,903490,903054,431.935,452.995,20.8822,20.8542,27,27,0.26,0,0
0.448349,0.478324,2.27512,404.077,5.63928e+06,3.09293e+08,49.1546,8717.92,0.937333,4.65275,901.255,1.15315e+07,6.8964e+08,0.041144,0.013355,21.6053,21.5749,897182,896768,431.191,452.993,21.6053,21.5749,28,28,0.27,0,0
0.431837,0.476478,2.19259,389.193,5.43243e+06,2.97909e+08,49.2337,8725.57,0.906309,4.62111,901.251,1.14482e+07,6.89638e+08,0.042812,0.0138779,22.4545,22.4196,888971,888398,430.169,452.992,22.4545,22.4196,29,29,0.28,0,0
0.415964,0.475032,2.10995,374.887,5.22559e+06,2.86966e+08,49.1511,8718.67,0.875655,4.58993,901.248,1.13664e+07,6.89637e+08,0.0444643,0.0143962,23.2949,23.2568,880986,880421,429.202,452.99,23.2949,23.2568,30,30,0.29,0,0
0.399808,0.472871,2.02872,360.324,5.02184e+06,2.75827e+08,49.2069,8724.01,0.845492,4.55192,901.243,1.12664e+07,6.89635e+08,0.046364,0.0149872,24.2552,24.2115,871177,870423,427.966,452.988,24.2552,24.2115,31,31,0.3,0,0
0.384263,0.470947,1.94808,346.313,4.81975e+06,2.6511e+08,49.1404,8719.14,0.815938,4.51284,901.238,1.11638e+07,6.89633e+08,0.0482883,0.0155849,25.2251,25.1771,861180,860405,426.719,452.985,25.2251,25.1771,32,32,0.31,0,0
0.368673,0.468388,1.86918,332.26,4.62167e+06,2.54363e+08,49.1718,8722.43,0.78711,4.46705,901.233,1.10435e+07,6.89631e+08,0.050448,0.0162502,26.3066,26.2518,849427,848431,425.21,452.983,26.3066,26.2518,33,33,0.32,0,0
0.353665,0.465886,1.79154,318.732,4.42679e+06,2.44017e+08,49.1179,8719.23,0.759123,4.41857,901.227,1.09163e+07,6.89628e+08,0.0526753,0.0169338,27.4165,27.356,837056,835992,423.615,452.98,27.4165,27.356,34,34,0.33,0,0
0.338827,0.462824,1.71595,305.358,4.23674e+06,2.33788e+08,49.1246,8720.87,0.732087,4.3634,901.22,1.07716e+07,6.89625e+08,0.0551246,0.0176789,28.6282,28.5595,822975,821657,421.755,452.977,28.6282,28.5595,35,35,0.34,0,0
0.324553,0.459636,1.64219,292.491,4.05123e+06,2.23949e+08,49.0772,8718.83,0.706107,4.30394,901.213,1.06158e+07,6.89622e+08,0.0576833,0.0184523,29.8852,29.8089,807871,806417,419.733,452.974,29.8852,29.8089,36,36,0.35,0,0
0.310626,0.45594,1.57075,279.938,3.8713e+06,2.14349e+08,49.0597,8719.27,0.681288,4.2377,901.205,1.04422e+07,6.89619e+08,0.0604513,0.0192808,31.2333,31.1471,791074,789328,417.432,452.97,31.2333,31.1471,37,37,0.36,0,0
0.297263,0.451956,1.50162,267.893,3.69702e+06,2.05139e+08,49.0103,8717.86,0.657726,4.1658,901.197,1.02541e+07,6.89615e+08,0.0633636,0.0201446,32.6383,32.5424,772927,770958,414.895,452.966,32.6383,32.5424,38,38,0.37,0,0
0.284379,0.447478,1.43506,256.279,3.52898e+06,1.96259e+08,48.9692,8717.54,0.635516,4.0869,901.188,1.00478e+07,6.8961e+08,0.066475,0.0210568,34.1234,34.0158,753091,750781,412.052,452.961,34.1234,34.0158,39,39,0.38,0,0
0.272075,0.442583,1.37115,245.188,3.36741e+06,1.87779e+08,48.908,8716.31,0.614743,4.00139,901.178,9.82447e+06,6.89606e+08,0.0697531,0.0220063,35.6693,35.5495,731708,729076,408.907,452.956,35.6693,35.5495,40,40,0.39,0,0
0.260334,0.437175,1.31004,234.605,3.21265e+06,1.79688e+08,48.8427,8715.51,0.595492,3.90872,901.168,9.58278e+06,6.89601e+08,0.0732222,0.022997,37.2834,37.1498,708670,705633,405.422,452.951,37.2834,37.1498,41,41,0.4,0,0
0.249197,0.431258,1.25181,224.565,3.06493e+06,1.72014e+08,48.7614,8714.17,0.577836,3.80906,901.157,9.32323e+06,6.89595e+08,0.0768655,0.0240216,38.9528,38.8047,684064,680603,401.585,452.945,38.9528,38.8047,42,42,0.41,0,0
0.238667,0.42479,1.19654,215.073,2.92445e+06,1.64758e+08,48.6702,8713.04,0.561847,3.70238,901.145,9.04592e+06,6.89589e+08,0.0806896,0.0250787,40.6759,40.5119,657938,653994,397.376,452.939,40.6759,40.5119,43,43,0.42,0,0
0.228757,0.417755,1.14428,206.14,2.79136e+06,1.57931e+08,48.5637,8711.45,0.547586,3.589,901.133,8.75178e+06,6.89582e+08,0.0846803,0.0261608,42.4404,42.2598,630424,625960,392.787,452.932,42.4404,42.2598,44,44,0.43,0,0
0.219468,0.410134,1.09508,197.767,2.66575e+06,1.51531e+08,48.4461,8709.99,0.535112,3.46934,901.12,8.44203e+06,6.89575e+08,0.0888351,0.0272642,44.2399,44.0417,601685,596658,387.811,452.925,44.2399,44.0417,45,45,0.44,0,0
0.210797,0.401922,1.04894,189.951,2.54767e+06,1.45558e+08,48.3143,8708.1,0.524472,3.34402,901.107,8.11845e+06,6.89568e+08,0.0931362,0.0283801,46.0603,45.844,571939,566313,382.454,452.918,46.0603,45.844,46,46,0.45,0,0
0.202732,0.393114,1.00586,182.681,2.43713e+06,1.40004e+08,48.1737,8706.29,0.515708,3.21384,901.094,7.78326e+06,6.8956e+08,0.097576,0.0295036,47.8933,47.6585,541441,535187,376.725,452.911,47.8933,47.6585,47,47,0.46,0,0
0.195263,0.38373,0.965786,175.948,2.33402e+06,1.3486e+08,48.0221,8704.14,0.508856,3.07974,901.081,7.43903e+06,6.89553e+08,0.102132,0.0306253,49.7233,49.4699,510477,503576,370.646,452.903,49.7233,49.4699,48,48,0.47,0,0
0.188359,0.373771,0.928697,169.724,2.23829e+06,1.30105e+08,47.8673,8701.87,0.503943,2.94279,901.067,7.08865e+06,6.89545e+08,0.106795,0.0317402,51.5424,51.2706,479352,471795,364.244,452.896,51.5424,51.2706,49,49,0.48,0,0
0.182016,0.363315,0.894436,164.006,2.14958e+06,1.25737e+08,47.7051,8699.74,0.500987,2.80413,901.054,6.73511e+06,6.89537e+08,0.111539,0.0328392,53.3354,53.0452,448373,440171,357.552,452.888,53.3354,53.0452,50,50,0.49,0,0
0.176156,0.352313,0.863013,158.724,2.06791e+06,1.21703e+08,47.5491,8696.41,0.5,2.66491,901.041,6.38147e+06,6.89529e+08,0.116358,0.0339192,55.0966,54.7894,417833,408976,350.606,452.88,55.0966,54.7894,51,51,0.5,0,0
0.170755,0.340837,0.834466,153.855,1.9934e+06,1.17984e+08,47.4103,8691.8,0.500987,2.52691,901.029,6.03228e+06,6.89521e+08,0.121226,0.0349745,56.8151,56.4935,388142,378724,343.478,452.873,56.8151,56.4935,52,52,0.51,0,0
0.165845,0.329095,0.80862,149.429,1.92565e+06,1.14605e+08,47.2796,8687.08,0.503943,2.39167,901.017,5.69145e+06,6.89513e+08,0.126091,0.0359911,58.4695,58.1351,359630,349754,336.242,452.866,58.4695,58.1351,53,53,0.52,0,0
0.161382,0.317146,0.785306,145.406,1.86424e+06,1.11533e+08,47.1609,8681.96,0.508856,2.26004,901.005,5.36103e+06,6.89506e+08,0.130939,0.0369654,60.0542,59.7084,332454,322156,328.937,452.859,60.0542,59.7084,54,54,0.53,0,0
0.157329,0.305074,0.76435,141.753,1.80873e+06,1.08744e+08,47.0599,8677.13,0.515708,2.1328,900.994,5.04294e+06,6.895e+08,0.135761,0.0378972,61.5686,61.2131,306748,296112,321.61,452.853,61.5686,61.2131,55,55,0.54,0,0
0.153651,0.292964,0.745574,138.437,1.7587e+06,1.06213e+08,46.976,8672.15,0.524472,2.01061,900.985,4.73875e+06,6.89493e+08,0.140538,0.0387828,63.0065,62.6432,282603,271711,314.303,452.846,63.0065,62.6432,56,56,0.55,0,0
0.150315,0.280904,0.728798,135.43,1.7137e+06,1.03918e+08,46.9137,8667.82,0.535112,1.89398,900.975,4.4496e+06,6.89487e+08,0.145266,0.0396244,64.3713,64.0021,260073,249016,307.055,452.841,64.3713,64.0021,57,57,0.56,0,0
0.14729,0.26898,0.713845,132.703,1.67329e+06,1.01836e+08,46.87,8663.54,0.547586,1.78329,900.967,4.17629e+06,6.89482e+08,0.149927,0.040419,65.6585,65.2852,239169,228038,299.904,452.836,65.6585,65.2852,58,58,0.57,0,0
0.144547,0.257271,0.700542,130.231,1.63705e+06,9.99498e+07,46.8483,8660.21,0.561847,1.67875,900.959,3.9192e+06,6.89477e+08,0.154524,0.0411706,66.8744,66.4989,219876,208762,292.88,452.831,66.8744,66.4989,59,59,0.58,0,0
0.142059,0.245847,0.688725,127.989,1.60457e+06,9.82387e+07,46.8437,8657.04,0.577836,1.58045,900.951,3.67843e+06,6.89472e+08,0.159036,0.0418768,68.0151,67.6392,202146,191130,286.011,452.827,68.0151,67.6392,60,60,0.59,0,0
0.139804,0.23477,0.678239,125.955,1.57547e+06,9.66874e+07,46.8594,8655.05,0.595492,1.48839,900.945,3.45378e+06,6.89468e+08,0.163473,0.0425432,69.0898,68.7153,185916,175077,279.318,452.823,69.0898,68.7153,61,61,0.6,0,0
0.137755,0.224086,0.668943,124.109,1.5494e+06,9.52789e+07,46.8889,8653.16,0.614743,1.40243,900.939,3.24485e+06,6.89464e+08,0.167812,0.0431668,70.094,69.7222,171104,160505,272.821,452.819,70.094,69.7222,62,62,0.61,0,0
0.135896,0.213836,0.660705,122.433,1.52604e+06,9.40006e+07,46.9362,8652.61,0.635516,1.32242,900.933,3.05107e+06,6.89461e+08,0.17207,0.0437551,71.0395,70.6722,157623,147326,266.532,452.816,71.0395,70.6722,63,63,0.62,0,0
0.134204,0.204043,0.653411,120.909,1.50511e+06,9.28378e+07,46.9931,8651.95,0.657726,1.24811,900.929,2.87174e+06,6.89457e+08,0.17622,0.0443036,71.9197,71.5578,145378,135422,260.464,452.813,71.9197,71.5578,64,64,0.63,0,0
0.132667,0.19473,0.646958,119.523,1.48636e+06,9.17814e+07,47.0658,8652.8,0.681288,1.17924,900.924,2.70614e+06,6.89455e+08,0.180286,0.0448216,72.7493,72.3944,134277,124704,254.623,452.811,72.7493,72.3944,65,65,0.64,0,0
0.131266,0.185901,0.641264,118.26,1.46957e+06,9.08182e+07,47.1445,8653.19,0.706107,1.11555,900.92,2.55347e+06,6.89452e+08,0.184231,0.0453025,73.518,73.1708,124227,115055,249.014,452.808,73.518,73.1708,66,66,0.65,0,0
0.129992,0.177563,0.636265,117.112,1.4546e+06,8.99427e+07,47.2391,8655.28,0.732087,1.05675,900.916,2.41298e+06,6.89451e+08,0.18809,0.0457579,74.2443,73.9062,115141,106398,243.644,452.806,74.2443,73.9062,67,67,0.66,0,0
0.128829,0.169707,0.631927,116.064,1.44134e+06,8.91435e+07,47.3388,8656.47,0.759123,1.00259,900.913,2.28396e+06,6.89448e+08,0.191811,0.0461775,74.9118,74.5838,106940,98625.9,238.515,452.804,74.9118,74.5838,68,68,0.67,0,0
0.127775,0.162334,0.62826,115.113,1.42982e+06,8.84195e+07,47.4609,8659.68,0.78711,0.952868,900.91,2.16585e+06,6.89447e+08,0.195437,0.0465761,75.5434,75.2275,99557.7,91691.6,233.636,452.803,75.5434,75.2275,69,69,0.68,0,0
0.126816,0.155424,0.625355,114.25,1.42023e+06,8.7761e+07,47.5979,8661.41,0.815938,0.907467,900.908,2.0583e+06,6.89444e+08,0.198886,0.0469376,76.1135,75.8112,92941.2,85511.6,229.021,452.801,76.1135,75.8112,70,70,0.69,0,0
0.125967,0.148987,0.623446,113.484,1.41312e+06,8.71781e+07,47.7842,8666.03,0.845492,0.86647,900.905,1.96142e+06,6.89444e+08,0.202192,0.0472795,76.6452,76.3633,87067.8,80105.1,224.7,452.8,76.6452,76.3633,71,71,0.7,0,0
0.12521,0.14299,0.623167,112.802,1.40993e+06,8.66582e+07,48.0465,8667.78,0.875655,0.830396,900.904,1.87633e+06,6.89442e+08,0.205215,0.047575,77.1006,76.8404,81968.5,75440.6,220.729,452.798,77.1006,76.8404,72,72,0.71,0,0
0.124677,0.137566,0.626827,112.322,1.41577e+06,8.62929e+07,48.5456,8677.82,0.906309,0.801946,900.901,1.8089e+06,6.89443e+08,0.20792,0.0478339,77.4466,77.2586,77807.1,71924.2,216.956,452.798,77.4466,77.2586,73,73,0.72,0,0
0.124899,0.13325,0.636478,112.522,1.4393e+06,8.64469e+07,49.095,8697.11,0.937333,0.783421,900.903,1.76926e+06,6.89441e+08,0.205839,0.0478548,77.1354,77.2924,76933,72603.5,219.592,452.797,77.1354,77.2924,74,74,0.73,0,0
0.126341,0.130436,0.674205,113.821,1.53382e+06,8.74387e+07,51.2565,8713.45,0.968605,0.800468,900.904,1.81876e+06,6.89446e+08,0.197033,0.0473975,76.0251,76.554,83338,80672.5,232.808,452.801,76.0251,76.554,75,75,0.74,0,0
0.128685,0.128685,0.73325,115.934,1.68325e+06,8.90495e+07,54.5738,8716.05,1,0.841545,900.911,1.92952e+06,6.89447e+08,0.185136,0.0465474,74.4273,75.1811,95109.1,93891.3,252.722,452.803,74.4273,75.1811,76,76,0.75,0,0
0.132631,0.128593,0.814509,119.489,1.89153e+06,9.1762e+07,58.718,8730.09,1.0314,0.906254,900.915,2.10223e+06,6.89457e+08,0.170806,0.045235,72.0901,73.062,112890,113545,278.551,452.81,72.0901,73.062,77,77,0.76,0,0
0.138524,0.130355,0.921495,124.8,2.16934e+06,9.58132e+07,63.4204,8733.27,1.06267,0.997135,900.926,2.34504e+06,6.89465e+08,0.154722,0.0433254,68.8234,69.9781,137970,140999,309.405,452.817,68.8234,69.9781,78,78,0.77,0,0
0.150008,0.137157,1.05536,135.147,2.52228e+06,1.0372e+08,67.9386,8875.84,1.09369,1.11834,900.93,2.67048e+06,6.89487e+08,0.137225,0.0406609,64.375,65.6757,172110,178570,344.137,452.832,64.375,65.6757,79,79,0.78,0,0
0.171396,0.152441,1.21454,154.417,2.94922e+06,1.18456e+08,70.9221,9231,1.12434,1.27451,900.936,3.09266e+06,6.89518e+08,0.118255,0.0370099,58.394,59.7798,217323,228929,381.295,452.851,58.394,59.7798,80,80,0.79,0,0
0.204846,0.177432,1.39424,184.552,3.43959e+06,1.41507e+08,70.5689,9595.6,1.15451,1.46815,900.928,3.62002e+06,6.89576e+08,0.0977851,0.0321885,50.6145,51.994,275066,294756,418.954,452.885,50.6145,51.994,81,81,0.8,0,0
0.257183,0.217204,1.56821,231.699,3.92583e+06,1.77575e+08,64.6195,9827.05,1.18406,1.69192,900.912,4.2341e+06,6.89653e+08,0.0764437,0.0262558,41.2059,42.4131,343780,372668,454.358,452.929,41.2059,42.4131,82,82,0.81,0,0
0.313231,0.258252,1.71935,282.189,4.35494e+06,2.16194e+08,55.147,9286.96,1.21289,1.91111,900.897,4.83968e+06,6.89719e+08,0.0577081,0.0203724,32.0743,32.9104,412850,439592,483.063,452.966,32.0743,32.9104,83,83,0.82,0,0
0.354025,0.285302,1.82272,318.94,4.64769e+06,2.44306e+08,49.3889,8739.92,1.24088,2.05527,900.896,5.23991e+06,6.89742e+08,0.0479418,0.0169629,27.0963,27.4031,459118,468096,499.521,452.98,27.0963,27.4031,84,84,0.83,0,0
0.368107,0.290325,1.87672,331.626,4.79191e+06,2.54014e+08,49.3165,8729.16,1.26791,2.08569,900.895,5.32477e+06,6.89743e+08,0.0463383,0.0162939,26.278,26.3223,469050,468760,502.883,452.981,26.278,26.3223,85,85,0.84,0,0
0.377823,0.292005,1.92433,340.38,4.91671e+06,2.60714e+08,49.2058,8721.17,1.29389,2.10064,900.897,5.3665e+06,6.89745e+08,0.0450173,0.0158603,25.5703,25.6219,473946,474675,504.517,452.982,25.5703,25.6219,86,86,0.85,0,0
0.386233,0.292887,1.96836,347.957,5.03158e+06,2.66512e+08,49.2827,8726.85,1.31871,2.11089,900.898,5.39526e+06,6.89747e+08,0.0440282,0.015525,25.0374,25.0803,477361,477686,505.683,452.983,25.0374,25.0803,87,87,0.86,0,0
0.395022,0.294294,2.0113,355.876,5.14408e+06,2.72573e+08,49.2167,8722.38,1.34227,2.1233,900.899,5.4299e+06,6.89748e+08,0.0429743,0.0151718,24.4701,24.5096,481427,481863,507.011,452.984,24.4701,24.5096,88,88,0.87,0,0
0.402545,0.295016,2.05014,362.652,5.24533e+06,2.7776e+08,49.2573,8725.19,1.36448,2.13126,900.9,5.45225e+06,6.89749e+08,0.0421572,0.014893,24.0263,24.0594,484094,484369,507.916,452.985,24.0263,24.0594,89,89,0.88,0,0
0.410133,0.29607,2.0877,369.489,5.34359e+06,2.82992e+08,49.2238,8722.97,1.38526,2.14096,900.901,5.47932e+06,6.8975e+08,0.0413296,0.0146138,23.578,23.6082,487263,487573,508.925,452.986,23.578,23.6082,90,90,0.89,0,0
0.416655,0.296655,2.12094,375.365,5.43021e+06,2.8749e+08,49.2412,8724.26,1.40451,2.14702,900.902,5.4964e+06,6.89751e+08,0.0406682,0.0143871,23.2167,23.2421,489318,489530,509.627,452.987,23.2167,23.2421,91,91,0.9,0,0
0.423011,0.297442,2.1528,381.092,5.51345e+06,2.91873e+08,49.2288,8723.24,1.42216,2.15462,900.903,5.51756e+06,6.89752e+08,0.0400265,0.0141692,22.8673,22.8901,491780,492005,510.385,452.987,22.8673,22.8901,92,92,0.91,0,0
0.428436,0.297907,2.18002,385.979,5.58436e+06,2.95613e+08,49.2304,8723.75,1.43815,2.15904,900.903,5.53007e+06,6.89752e+08,0.0395074,0.0139906,22.5826,22.6016,493303,493462,510.919,452.988,22.5826,22.6016,93,93,0.92,0,0
0.433515,0.298479,2.20586,390.556,5.6518e+06,2.99116e+08,49.2327,8723.33,1.45241,2.16494,900.904,5.54644e+06,6.89753e+08,0.0390253,0.013826,22.3191,22.3357,495187,495348,511.471,452.988,22.3191,22.3357,94,94,0.93,0,0
0.437763,0.298837,2.2267,394.383,5.70611e+06,3.02045e+08,49.2229,8723.48,1.46489,2.1679,900.904,5.55489e+06,6.89753e+08,0.0386375,0.0136921,22.1057,22.1193,496242,496356,511.862,452.989,22.1057,22.1193,95,95,0.94,0,0
0.441524,0.299231,2.24624,397.771,5.75705e+06,3.04639e+08,49.2357,8723.33,1.47553,2.17237,900.905,5.5672e+06,6.89754e+08,0.0382973,0.0135752,21.9191,21.9305,497634,497744,512.24,452.989,21.9191,21.9305,96,96,0.95,0,0
0.444529,0.299489,2.26045,400.479,5.79407e+06,3.06711e+08,49.2178,8723.35,1.48429,2.174,900.905,5.57198e+06,6.89754e+08,0.0380329,0.0134835,21.7735,21.7823,498265,498341,512.506,452.989,21.7735,21.7823,97,97,0.96,0,0
0.446944,0.299732,2.27344,402.654,5.82792e+06,3.08376e+08,49.2379,8723.3,1.49114,2.17721,900.905,5.58072e+06,6.89754e+08,0.0378225,0.0134105,21.6578,21.6645,499223,499289,512.734,452.989,21.6578,21.6645,98,98,0.97,0,0
0.448653,0.29989,2.28083,404.194,5.84722e+06,3.09554e+08,49.2147,8723.29,1.49606,2.17761,900.905,5.58207e+06,6.89754e+08,0.0376767,0.0133594,21.5775,21.582,499458,499500,512.883,452.989,21.5775,21.582,99,99,0.98,0,0
0.449711,0.300005,2.2871,405.148,5.86351e+06,3.10284e+08,49.239,8723.28,1.49901,2.17964,900.906,5.58751e+06,6.89754e+08,0.0375885,0.013328,21.529,21.5311,500019,500044,512.979,452.99,21.529,21.5311,100,100,0.99,0,0
0.450076,0.30005,2.28762,405.476,5.86492e+06,3.10535e+08,49.2133,8723.28,1.5,2.17884,900.905,5.58554e+06,6.89754e+08,0.0375591,0.0133172,21.5129,21.5137,499869,499878,513.013,452.99,21.5129,21.5137,101,101,1,0,0
